model,accuracy,balanced_accuracy,macro_f1,weighted_f1
extra_trees,0.8215158924205379,0.8212651280660065,0.8211113925397385,0.8211797456907036
random_forest,0.8148187519931965,0.8146057913948092,0.8143303185430018,0.8144169773220141
bilstm_raw_sequence,0.8047198894440311,0.8045609009441489,0.8041728844076718,0.8042441100294299
hist_gradient_boosting,0.7980227490166897,0.79782133392066,0.7978570217419527,0.7979602628295204
1dcnn_raw_sequence,0.5275858403316679,0.5276077877743944,0.5256277272677544,0.5256948331994213
